ID_PLT;NAZWA;ID_KRAJ;MIASTO;KOD;ULICA;NR_LOK;NIP
119;FABRYKA CUKIERKÓW PSZCZÓŁKA SP. Z O.O.;PL;LUBLIN;20270;LUDWIKA SPIESSA 7;Brak;9462616622
120;.....ZAKŁAD PRODUKCJI CUKIERNICZEJ VOBRO - WOJCIECH WOJENKOWSKI;PL;Brodnica;87300;PODGÓRNA 78;Brak;8740003063
121;***********DELICPOL SP. Z O.O.;PL;Kamyk;42125;GRUNWALDZKA 8;Brak;5272669122
122;POLSKA ORGANIZACJA HANDLOWA SP. Z O.O.;PL;KATOWICE;40384;Ks. Bsp. Bednorza 2a-6;Brak;9542485145
123;CHOCOLITO NATALIA TOCZKOWSKA   DOST.GRABOWSKA 73;PL;OSTRÓW WLKP.;63400;KALISKA 120;Brak;6222558898
124;LEMIGO SPÓŁKA Z O.O.;PL;Grudziądz;86300;WARYŃSKIEGO 32-36;Brak;8762329524
125;"PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""DANIEL"" ZIELASKOWSKI ARTUR";PL;Grudziądz;86300;DWORCOWA 14;Brak;8762200049
1028;SZKOŁA PODSTAWOWA W BURSZTYNOWIE;PL;ŚWIECIE NAD OSĄ;86341;BURSZTYNOWO 44;Brak;0
127;"*******PPH ""JOMAR"" s.c. J. i M. SZAGAŁA";PL;ZĄBROWO;14241;SZKOLNA 8;Brak;7441469623
129;HANDEL DETALICZNY ART.ROLNO-SPOŻYWCZO-PRZEMYSŁOWYMI URSZULA TROJANOWSKA;PL;ŁASIN;86320;KOŚCIUSZKI 11;Brak;8761049981
130;CUKIERNICTWO-PIEKARNICTWO HANDEL ARTYKUŁAMI SPOŻ. STANISŁAW TROJANOWSKI;PL;ŁASIN;86320;KOŚCIUSZKI 11;Brak;8760012266
131;FOODCARE SP. Z O.O.;PL;ZABIERZÓW;32080;SPOKOJNA 4;Brak;9441847411
132;POWIATOWA STACJA SANITARNO-EPIDEMIOLOGICZNA;PL;Inowrocław;88100;PLAC KLASZTORNY 1b;Brak;5561598084
133;SKLEP SPOŻYWCZY MAREK PIKUŁA;PL;KALISKA;83260;DŁUGA 32;Brak;5921988316
134;"WIKAR SKLEP ""MALINKA""";PL;Toruń;87100;CHEŁMIŃSKA 24;Brak;8791545414
135;BARBARA WASILEWSKA SKLEP SPOŻYWCZY;PL;GRUDZIĄDZ;86300;TCZEWSKA 1C;Brak;8760202819
137;WUTKOWSCY SP. Z O.O.;PL;ŚLIWICE;89530;CZERSKA 9;Brak;5611404479
138;ENERGOSTAL MATEUSZ REŃSKI;PL;Grudziądz;86300;BUDOWLANYCH 3;Brak;8762029319
139;SKLEP WIELOBRANŻOWY KAROLINKA KAMILLA KIEŁBASA;PL;DRAGACZ;86134;STARE MARZY UL. PIASKOWA;Brak;5591623266
140;"POWSZECHNA SPÓŁDZIELNIA SPOŻYWCÓW ""SPOŁEM"" CHEŁMNO";PL;CHEŁMNO;86200;GRUDZIĄDZKA 34;Brak;8750002473
141;I.D.C. POLONIA S.A.;PL;LIBERTÓW;30444;BARTNICKA 35;Brak;6792659337
142;AKSAM Spółka z ograniczoną odpowiedzialnością i Spółka komandytowa;PL;OSIEK;32608;KAROLINA 70;Brak;5492410136
143;BOGUTTI SP. Z O.O.;PL;HENRYKÓW - UROCZE;5504;GROMADZKA 48;Brak;1231270852
144;FIRMA HANDLOWA HURT-DETAL ARTYKUŁY SPOŻYWCZO-PRZEMYSŁOWE KAZIMIERZ GŁOWACKI;PL;TORUŃ;87100;SZUBIŃSKA 86;Brak;8791013427
145;SMAK SERWIS SP. Z O.O.;PL;ŁAŃCUT;37100;BOCZNA KASPROWICZA 11;Brak;8151512446
146;"P.P.H.U. ""ALEX"" EDYTA BRYSZEL-GĘBKA";PL;ŚWIECIE;86100;KOŚCIUSZKI 9A;Brak;5591463615
147;MOSSAKOWSKI  DOMINIK;PL;Grudziądz;86300;ŚNIADECKICH 52/12;12;8762047464
149;RADA RODZICÓW PRZY PRZEDSZKOLU MIEJSKIM STRZEMIĘCIN;PL;Grudziądz;86300;KORCZAKA 21;Brak;8762024919
150;POWIATOWE CENTRUM POMOCY RODZINIE W TORUNIU;PL;Toruń;87100;TOWAROWA 4-6;Brak;8792083766
151;SKLEP SPOŻYWCZO-PRZEMYSŁO MAŁGORZATA GRONOWSKA;PL;GRUDZIĄDZ;86300;STACHURY 4;Brak;8760014294
152;GALERIA PAŁUCKA;PL;ŻNIN;88400;GNIEŹNIEŃSKA 1F;Brak;5620000623
154;DR OETKER POLSKA SP. Z O.O.;PL;GDAŃSK;80339;ADM. DICKMANA 14/15;15;5840201571
155;HSW - KUŹNIA STALOWA WOLA SP. Z O.O.;PL;STALOWA WOLA;37450;KWIATKOWSKIEGO 1;Brak;8652389620
156;F.H.U. DELIKATESY U STEFANA EMILIA LICHOŃ;PL;STAROGARD GDAŃSKI;83200;LUBICHOWSKA 151;Brak;5921343105
157;SKLEP SPOŻYWCZO-PRZEMYSŁOWY WYPOŻYCZALNIA  KASET VIDEO ANDRZEJ GLIWA;PL;WĄBRZEŹNO;87200;MICKIEWICZA 16;Brak;8780002822
158;"MK ""PHARM""SPÓŁKA Z O.O.";PL;GOLUB-DOBRZYŃ;87400;DWORCOWA 4;Brak;5030059791
159;FIRMA MILEX MILENA BANDURSKA;PL;Grudziądz;86300;ŁĘGI 15;Brak;8762225150
160;SKLEP SPOŻYWCZO-PRZEMYSŁOWY IWONA DĄBROWSKA;PL;PIENIĄŻKOWO;83135;MAŁA KARCZMA;Brak;5931870071
161;"RADA RODZICÓW PRZEDSZKOLE MIEJSKIE ""Kopernik""";PL;Grudziądz;86300;DWORCOWA 35;Brak;0
162;"SKLEP OWOCOWO WARZYWNY ""POZIOMKA"" BEATA MURAWSKA";PL;Grudziądz;86300;BYDGOSKA 4;Brak;8761313509
164;CHOJECKI SPÓŁKA AKCYJNA;PL;PUSZCZA MARIAŃSKA;96330;KAMION 40A;Brak;8381847564
